layer,time(s)
GATConv1,2.3108272552490234
GATConv2,2.34163236618042
Concat+Pooling,0.519780158996582
Linear1,0.023800373077392578
Linear2+Loss,0.012706995010375977
GATConv1,2.281876802444458
GATConv2,2.3328588008880615
Concat+Pooling,0.5026490688323975
Linear1,0.002498149871826172
Linear2+Loss,0.07335352897644043
GATConv1,2.225769519805908
GATConv2,2.348569631576538
Concat+Pooling,0.5118229389190674
Linear1,0.010466814041137695
Linear2+Loss,0.07010722160339355
GATConv1,2.2117996215820312
GATConv2,2.3476455211639404
Concat+Pooling,0.5035488605499268
Linear1,0.0024814605712890625
Linear2+Loss,0.06998586654663086
GATConv1,2.206432819366455
GATConv2,2.3444628715515137
Concat+Pooling,0.5043082237243652
Linear1,0.0022385120391845703
Linear2+Loss,0.06946706771850586
GATConv1,2.2105674743652344
GATConv2,2.3461408615112305
Concat+Pooling,0.5053372383117676
Linear1,0.0024738311767578125
Linear2+Loss,0.06965827941894531
GATConv1,2.246619701385498
GATConv2,2.363736152648926
Concat+Pooling,0.5096185207366943
Linear1,0.011248111724853516
Linear2+Loss,0.07011628150939941
GATConv1,2.215367317199707
GATConv2,2.3546862602233887
Concat+Pooling,0.5027306079864502
Linear1,0.002450227737426758
Linear2+Loss,0.06962776184082031
GATConv1,2.2111473083496094
GATConv2,2.346573829650879
Concat+Pooling,0.5028090476989746
Linear1,0.002325296401977539
Linear2+Loss,0.06936860084533691
GATConv1,2.211012125015259
GATConv2,2.345470428466797
Concat+Pooling,0.5022637844085693
Linear1,0.0024595260620117188
Linear2+Loss,0.06935715675354004
